Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Arsenal,25,38.0,67,544,178,32.7,14.32,4.68,0.12,0.37,15.1,10,2,2,59.9,58.4,0.11,7.1,6.6,25,38.0,34,359,117,32.6,9.45,3.08,0.09,0.26,17.8,13,3,3,34.4,32.0,0.09,-0.4,-1.0,2024-2025 Premier League
Aston Villa,28,38.0,56,478,159,33.3,12.58,4.18,0.11,0.33,16.3,12,3,6,56.1,51.3,0.11,-0.1,1.7,28,38.0,51,460,153,33.3,12.11,4.03,0.11,0.32,16.7,10,2,3,50.1,47.8,0.11,0.9,1.2,2024-2025 Premier League
Bournemouth,29,38.0,57,574,192,33.4,15.11,5.05,0.09,0.27,16.7,10,6,7,64.0,58.5,0.1,-7.0,-7.5,29,38.0,46,483,168,34.8,12.71,4.42,0.09,0.25,17.1,14,4,4,48.5,45.3,0.1,-2.5,-3.3,2024-2025 Premier League
Brentford,28,38.0,65,434,173,39.9,11.42,4.55,0.14,0.35,14.9,10,5,6,59.0,54.4,0.13,6.0,5.6,28,38.0,54,646,206,31.9,17.0,5.42,0.08,0.26,17.5,14,1,1,55.4,54.7,0.09,-1.4,-1.7,2024-2025 Premier League
Brighton,32,38.0,64,526,183,34.8,13.84,4.82,0.11,0.31,17.2,25,7,7,58.7,53.3,0.1,5.3,3.7,32,38.0,57,418,138,33.0,11.0,3.63,0.11,0.35,15.6,8,9,9,54.6,47.7,0.12,2.4,0.3,2024-2025 Premier League
Chelsea,29,38.0,61,590,203,34.4,15.53,5.34,0.1,0.28,16.7,17,4,5,67.8,63.8,0.11,-6.8,-6.8,29,38.0,43,392,149,38.0,10.32,3.92,0.1,0.26,17.1,22,5,6,47.3,42.6,0.11,-4.3,-4.6,2024-2025 Premier League
Crystal Palace,29,38.0,49,512,175,34.2,13.47,4.61,0.09,0.26,16.8,19,3,4,60.4,57.3,0.11,-11.4,-11.3,29,38.0,48,481,148,30.8,12.66,3.89,0.1,0.32,16.4,9,1,2,49.1,47.5,0.1,-1.1,-0.5,2024-2025 Premier League
Everton,26,38.0,39,404,139,34.4,10.63,3.66,0.09,0.27,16.8,11,2,2,41.8,40.2,0.1,-2.8,-3.2,26,38.0,44,478,161,33.7,12.58,4.24,0.09,0.27,16.6,16,0,2,46.2,44.6,0.1,-2.2,-0.6,2024-2025 Premier League
Fulham,26,38.0,53,516,167,32.4,13.58,4.39,0.1,0.3,16.4,10,3,4,49.0,45.9,0.09,4.0,4.1,26,38.0,52,429,155,36.1,11.29,4.08,0.11,0.32,16.2,17,3,4,47.2,44.1,0.11,4.8,4.9,2024-2025 Premier League
Ipswich Town,32,38.0,35,374,120,32.1,9.84,3.16,0.09,0.28,17.7,10,2,2,34.4,32.8,0.09,0.6,0.2,32,38.0,80,601,204,33.9,15.82,5.37,0.12,0.36,16.4,14,6,6,72.7,68.3,0.12,7.3,5.7,2024-2025 Premier League
Leicester City,32,38.0,33,332,105,31.6,8.74,2.76,0.09,0.3,17.3,8,2,3,32.6,30.4,0.09,0.4,0.6,32,38.0,77,639,205,32.1,16.82,5.39,0.12,0.36,16.0,21,3,4,71.9,68.8,0.11,5.1,5.2,2024-2025 Premier League
Liverpool,24,38.0,85,639,215,33.6,16.82,5.66,0.12,0.35,15.9,11,9,9,82.2,75.2,0.12,2.8,0.8,24,38.0,39,385,136,35.3,10.13,3.58,0.1,0.28,17.6,12,1,2,38.6,36.9,0.1,0.4,1.1,2024-2025 Premier League
Manchester City,30,38.0,71,603,208,34.5,15.87,5.47,0.11,0.33,16.9,21,3,4,68.1,64.9,0.11,2.9,3.1,30,38.0,42,351,124,35.3,9.24,3.26,0.11,0.31,15.4,5,4,4,47.7,44.6,0.13,-5.7,-6.6,2024-2025 Premier League
Manchester Utd,31,38.0,42,524,168,32.1,13.79,4.42,0.07,0.23,17.4,15,4,4,52.6,49.4,0.1,-10.6,-11.4,31,38.0,52,411,145,35.3,10.82,3.82,0.12,0.34,16.5,14,3,4,53.8,50.8,0.13,-1.8,-1.8,2024-2025 Premier League
Newcastle Utd,24,38.0,66,519,163,31.4,13.66,4.29,0.12,0.37,15.9,14,5,6,63.8,59.5,0.12,2.2,1.5,24,38.0,45,471,159,33.8,12.39,4.18,0.09,0.28,16.7,7,1,2,45.5,44.0,0.1,-0.5,0.0,2024-2025 Premier League
Nott'ham Forest,23,38.0,57,460,162,35.2,12.11,4.26,0.12,0.33,17.5,15,3,3,45.5,43.2,0.1,11.5,10.8,23,38.0,46,528,162,30.7,13.89,4.26,0.08,0.27,16.8,11,3,3,48.9,46.5,0.09,-2.9,-3.5,2024-2025 Premier League
Southampton,36,38.0,25,341,106,31.1,8.97,2.79,0.07,0.24,16.3,7,0,2,32.7,30.9,0.09,-7.7,-5.9,36,38.0,86,672,236,35.1,17.68,6.21,0.12,0.33,16.3,18,7,9,84.8,77.9,0.12,1.2,1.1,2024-2025 Premier League
Tottenham,31,38.0,61,493,177,35.9,12.97,4.66,0.12,0.33,16.0,13,3,4,58.8,55.7,0.12,2.2,2.3,31,38.0,61,519,177,34.1,13.66,4.66,0.11,0.33,15.8,8,3,3,63.3,60.9,0.12,-2.3,-2.9,2024-2025 Premier League
West Ham,27,38.0,43,473,137,29.0,12.45,3.61,0.08,0.29,16.3,14,3,3,47.0,44.7,0.1,-4.0,-4.7,27,38.0,59,580,183,31.6,15.26,4.82,0.1,0.31,16.9,18,3,3,59.7,57.4,0.1,-0.7,-1.4,2024-2025 Premier League
Wolves,32,38.0,53,431,155,36.0,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3,32,38.0,66,464,159,34.3,12.21,4.18,0.13,0.37,16.5,19,7,9,58.1,51.0,0.11,7.9,8.0,2024-2025 Premier League
Atalanta,32,38.0,76,538,181,33.6,14.16,4.76,0.13,0.39,15.0,5,5,7,65.0,59.5,0.11,11.0,11.5,32,38.0,35,403,145,36.0,10.61,3.82,0.08,0.23,18.3,11,2,2,38.6,37.1,0.1,-3.6,-4.1,2024-2025 Serie A
Bologna,30,38.0,56,505,166,32.9,13.29,4.37,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2,30,38.0,45,317,103,32.5,8.34,2.71,0.14,0.42,17.3,11,2,3,36.7,34.3,0.11,8.3,8.7,2024-2025 Serie A
Cagliari,28,38.0,38,421,115,27.3,11.08,3.03,0.08,0.3,16.0,10,3,3,42.7,40.3,0.1,-4.7,-5.3,28,38.0,56,497,147,29.6,13.08,3.87,0.1,0.34,17.7,17,6,6,55.3,51.1,0.11,0.7,-1.1,2024-2025 Serie A
Como,38,38.0,44,519,176,33.9,13.66,4.63,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1,38,38.0,52,376,136,36.2,9.89,3.58,0.12,0.33,17.5,22,7,7,43.0,37.6,0.1,9.0,7.4,2024-2025 Serie A
Empoli,34,38.0,31,367,107,29.2,9.66,2.82,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1,34,38.0,58,513,156,30.4,13.5,4.11,0.11,0.37,17.3,17,1,3,50.1,47.7,0.09,7.9,9.3,2024-2025 Serie A
Fiorentina,34,38.0,55,429,160,37.3,11.29,4.21,0.11,0.31,18.4,20,6,8,48.9,42.6,0.1,6.1,6.4,34,38.0,40,429,143,33.3,11.29,3.76,0.09,0.27,17.8,14,1,3,42.8,40.4,0.09,-2.8,-1.4,2024-2025 Serie A
Genoa,37,38.0,35,383,117,30.5,10.08,3.08,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5,37,38.0,46,472,150,31.8,12.42,3.95,0.08,0.27,17.9,15,6,8,47.2,41.1,0.09,-1.2,-1.1,2024-2025 Serie A
Hellas Verona,32,38.0,31,372,95,25.5,9.79,2.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3,32,38.0,65,501,169,33.7,13.18,4.45,0.13,0.37,18.4,23,2,4,53.4,50.3,0.1,11.6,12.7,2024-2025 Serie A
Inter,26,38.0,76,554,177,31.9,14.58,4.66,0.12,0.38,16.6,17,8,9,66.9,60.1,0.11,9.1,7.9,26,38.0,31,385,120,31.2,10.13,3.16,0.07,0.23,18.1,11,3,4,36.4,33.1,0.09,-5.4,-5.1,2024-2025 Serie A
Juventus,29,38.0,56,509,175,34.4,13.39,4.61,0.1,0.29,17.3,11,6,6,51.0,46.3,0.09,5.0,3.7,29,38.0,35,394,114,28.9,10.37,3.0,0.08,0.26,18.0,13,5,5,34.0,30.1,0.08,1.0,-0.1,2024-2025 Serie A
Lazio,27,38.0,60,528,185,35.0,13.89,4.87,0.1,0.29,17.7,13,6,7,57.2,52.0,0.1,2.8,2.0,27,38.0,47,380,115,30.3,10.0,3.03,0.11,0.37,17.6,14,4,4,37.7,34.7,0.09,9.3,8.3,2024-2025 Serie A
Lecce,31,38.0,27,450,119,26.4,11.84,3.13,0.05,0.2,19.3,22,3,4,34.6,31.8,0.07,-7.6,-7.8,31,38.0,55,521,172,33.0,13.71,4.53,0.09,0.27,17.5,18,8,10,57.1,49.6,0.1,-2.1,-2.6,2024-2025 Serie A
Milan,35,38.0,59,555,185,33.3,14.61,4.87,0.1,0.3,17.9,8,4,8,63.7,57.5,0.11,-4.7,-2.5,35,38.0,40,429,140,32.6,11.29,3.68,0.09,0.28,17.9,14,1,2,41.3,39.7,0.1,-1.3,-0.7,2024-2025 Serie A
Monza,36,38.0,27,333,99,29.7,8.76,2.61,0.07,0.24,18.3,17,3,3,29.9,27.7,0.09,-2.9,-3.7,36,38.0,66,563,179,31.8,14.82,4.71,0.11,0.36,16.8,19,2,4,54.7,51.6,0.09,11.3,12.4,2024-2025 Serie A
Napoli,27,38.0,56,499,150,30.1,13.13,3.95,0.1,0.35,16.2,11,4,5,52.9,49.1,0.1,3.1,2.9,27,38.0,25,360,93,25.8,9.47,2.45,0.07,0.26,19.2,19,1,4,29.6,26.3,0.07,-4.6,-2.3,2024-2025 Serie A
Parma,32,38.0,43,418,140,33.5,11.0,3.68,0.09,0.26,19.3,22,6,7,43.1,37.6,0.09,-0.1,-0.6,32,38.0,56,537,153,28.5,14.13,4.03,0.09,0.33,17.1,20,5,5,56.4,52.6,0.1,-0.4,-1.6,2024-2025 Serie A
Roma,28,38.0,55,514,162,31.5,13.53,4.26,0.09,0.29,17.9,15,8,8,53.0,46.7,0.09,2.0,0.3,28,38.0,34,437,147,33.6,11.5,3.87,0.07,0.2,18.2,13,4,4,40.9,37.7,0.09,-6.9,-7.7,2024-2025 Serie A
Torino,31,38.0,36,383,123,32.1,10.08,3.24,0.09,0.28,18.6,12,2,4,34.6,31.6,0.08,1.4,2.4,31,38.0,43,522,173,33.1,13.74,4.55,0.08,0.23,17.3,9,3,7,50.4,44.9,0.09,-7.4,-4.9,2024-2025 Serie A
Udinese,31,38.0,41,430,137,31.9,11.32,3.61,0.09,0.28,17.7,15,2,4,38.2,35.0,0.08,2.8,4.0,31,38.0,51,496,157,31.7,13.05,4.13,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5,2024-2025 Serie A
Venezia,36,38.0,31,381,120,31.5,10.03,3.16,0.07,0.23,18.5,25,4,5,35.8,32.0,0.09,-4.8,-5.0,36,38.0,53,556,177,31.8,14.63,4.66,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9,2024-2025 Serie A
Angers,30,34.0,31,311,91,29.3,9.15,2.68,0.08,0.29,18.3,13,5,6,36.0,31.3,0.1,-5.0,-5.3,30,34.0,53,478,186,38.9,14.06,5.47,0.1,0.26,16.9,9,4,5,57.8,53.9,0.12,-4.8,-4.9,2024-2025 Ligue 1
Auxerre,29,34.0,47,375,144,38.4,11.03,4.24,0.11,0.3,17.5,10,4,5,41.0,37.3,0.1,6.0,5.7,29,34.0,48,445,165,37.1,13.09,4.85,0.09,0.25,16.5,17,6,8,58.6,52.3,0.12,-10.6,-10.3,2024-2025 Ligue 1
Brest,30,34.0,52,409,151,36.9,12.03,4.44,0.11,0.3,17.0,7,7,9,45.4,38.3,0.1,6.6,6.7,30,34.0,57,404,132,32.7,11.88,3.88,0.12,0.37,15.8,8,8,10,57.4,50.0,0.13,-0.4,-1.0,2024-2025 Ligue 1
Le Havre,31,34.0,37,339,97,28.6,9.97,2.85,0.08,0.29,17.8,14,9,10,41.4,33.4,0.1,-4.4,-5.4,31,34.0,70,482,169,35.1,14.18,4.97,0.13,0.38,16.4,8,5,6,62.8,58.5,0.13,7.2,6.5,2024-2025 Ligue 1
Lens,33,34.0,40,484,148,30.6,14.24,4.35,0.07,0.24,16.7,7,5,5,51.8,48.3,0.1,-11.8,-13.3,33,34.0,39,369,133,36.0,10.85,3.91,0.08,0.23,17.2,12,8,9,45.3,38.3,0.11,-6.3,-7.3,2024-2025 Ligue 1
Lille,27,34.0,52,424,154,36.3,12.47,4.53,0.11,0.29,16.6,15,7,10,54.7,47.5,0.12,-2.7,-2.5,27,34.0,35,333,122,36.6,9.79,3.59,0.09,0.25,16.3,10,4,4,42.5,39.4,0.12,-7.5,-8.4,2024-2025 Ligue 1
Lyon,31,34.0,62,434,173,39.9,12.76,5.09,0.12,0.31,16.2,6,8,10,60.3,52.5,0.12,1.7,1.5,31,34.0,46,447,163,36.5,13.15,4.79,0.1,0.26,18.1,17,3,3,45.7,43.3,0.1,0.3,-0.3,2024-2025 Ligue 1
Marseille,32,34.0,70,481,185,38.5,14.15,5.44,0.13,0.34,16.7,15,8,10,63.8,55.8,0.12,6.2,6.2,32,34.0,45,320,129,40.3,9.41,3.79,0.13,0.33,17.0,11,3,6,45.2,40.9,0.13,-0.2,1.1,2024-2025 Ligue 1
Monaco,28,34.0,63,493,180,36.5,14.5,5.29,0.12,0.32,15.7,9,6,7,72.8,67.7,0.14,-9.8,-10.7,28,34.0,41,333,125,37.5,9.79,3.68,0.11,0.3,18.2,5,3,3,34.8,32.7,0.1,6.2,5.3,2024-2025 Ligue 1
Montpellier,35,34.0,23,371,111,29.9,10.91,3.26,0.05,0.18,18.7,20,3,4,33.5,30.4,0.09,-10.5,-10.4,35,34.0,76,523,185,35.4,15.38,5.44,0.13,0.37,16.3,15,8,9,63.3,56.1,0.11,12.7,11.9,2024-2025 Ligue 1
Nantes,30,34.0,39,345,119,34.5,10.15,3.5,0.1,0.29,15.9,4,5,5,39.1,35.3,0.11,-0.1,-1.3,30,34.0,49,419,141,33.7,12.32,4.15,0.1,0.3,16.2,8,7,8,55.5,49.3,0.12,-6.5,-7.3,2024-2025 Ligue 1
Nice,31,34.0,62,486,183,37.7,14.29,5.38,0.12,0.31,16.2,14,6,6,61.6,56.9,0.13,0.4,-0.9,31,34.0,40,456,158,34.6,13.41,4.65,0.08,0.24,17.9,13,2,3,40.2,38.0,0.09,-0.2,0.0,2024-2025 Ligue 1
Paris S-G,28,34.0,89,628,272,43.3,18.47,8.0,0.13,0.31,16.3,13,6,7,88.9,83.3,0.14,0.1,-0.3,28,34.0,34,309,100,32.4,9.09,2.94,0.1,0.31,17.6,6,3,3,31.2,29.0,0.1,2.8,2.0,2024-2025 Ligue 1
Reims,34,34.0,32,393,111,28.2,11.56,3.26,0.08,0.28,17.6,8,1,2,37.4,35.9,0.09,-5.4,-4.9,34,34.0,47,496,174,35.1,14.59,5.12,0.09,0.25,16.7,9,4,5,57.4,53.5,0.11,-10.4,-10.5,2024-2025 Ligue 1
Rennes,35,34.0,51,423,155,36.6,12.44,4.56,0.11,0.3,17.3,8,5,8,48.6,42.7,0.1,2.4,3.3,35,34.0,48,370,132,35.7,10.88,3.88,0.12,0.34,16.6,8,3,6,46.0,41.4,0.11,2.0,3.6,2024-2025 Ligue 1
Saint-Ã‰tienne,32,34.0,39,366,115,31.4,10.76,3.38,0.1,0.31,18.1,8,3,4,36.4,33.2,0.1,2.6,2.8,32,34.0,75,536,194,36.2,15.76,5.71,0.12,0.32,15.7,12,13,15,74.3,62.3,0.12,0.7,-0.3,2024-2025 Ligue 1
Strasbourg,30,34.0,54,354,140,39.5,10.41,4.12,0.15,0.37,16.0,10,2,2,49.3,47.7,0.14,4.7,4.3,30,34.0,42,448,160,35.7,13.18,4.71,0.08,0.21,16.7,9,8,9,56.1,49.3,0.11,-14.1,-15.3,2024-2025 Ligue 1
Toulouse,27,34.0,42,399,145,36.3,11.74,4.26,0.1,0.27,15.4,7,3,4,49.1,46.0,0.12,-7.1,-7.0,27,34.0,40,347,106,30.5,10.21,3.12,0.11,0.37,17.6,11,1,2,36.8,35.2,0.1,3.2,3.8,2024-2025 Ligue 1
Augsburg,29,34.0,35,397,114,28.7,11.68,3.35,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9,29,34.0,49,447,151,33.8,13.15,4.44,0.1,0.29,16.7,13,5,5,48.9,45.0,0.1,0.1,-1.0,2024-2025 Bundesliga
Bayern Munich,29,34.0,96,636,255,40.1,18.71,7.5,0.14,0.34,16.7,19,9,10,81.7,74.0,0.12,14.3,13.0,29,34.0,32,229,79,34.5,6.74,2.32,0.14,0.39,17.3,3,1,2,25.5,24.0,0.11,6.5,7.0,2024-2025 Bundesliga
Bochum,27,34.0,32,433,133,30.7,12.74,3.91,0.07,0.23,17.7,11,1,3,41.8,39.3,0.09,-9.8,-8.3,27,34.0,68,481,148,30.8,14.15,4.35,0.14,0.44,16.3,16,3,6,63.2,58.2,0.12,4.8,6.8,2024-2025 Bundesliga
Dortmund,28,34.0,69,478,157,32.8,14.06,4.62,0.13,0.41,16.1,9,5,6,61.2,56.5,0.12,7.8,7.5,28,34.0,50,372,136,36.6,10.94,4.0,0.12,0.34,17.0,8,4,4,42.8,39.6,0.11,7.2,6.4,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,68,480,172,35.8,14.12,5.06,0.14,0.38,16.4,13,3,5,65.1,61.4,0.13,2.9,3.6,26,34.0,44,466,160,34.3,13.71,4.71,0.09,0.27,17.1,8,1,3,48.0,45.7,0.1,-4.0,-2.7,2024-2025 Bundesliga
Freiburg,26,34.0,46,405,132,32.6,11.91,3.88,0.11,0.35,16.9,16,0,4,44.3,41.1,0.11,1.7,4.9,26,34.0,52,428,146,34.1,12.59,4.29,0.12,0.34,17.8,13,2,4,42.4,39.4,0.09,9.6,10.6,2024-2025 Bundesliga
Gladbach,26,34.0,53,413,153,37.0,12.15,4.5,0.12,0.32,16.4,5,4,5,50.6,46.6,0.11,2.4,2.4,26,34.0,55,577,183,31.7,16.97,5.38,0.08,0.26,17.2,13,7,8,63.4,57.0,0.1,-8.4,-9.0,2024-2025 Bundesliga
Heidenheim,27,34.0,37,398,124,31.2,11.71,3.65,0.08,0.26,17.3,12,5,5,40.3,36.3,0.09,-3.3,-4.3,27,34.0,64,454,165,36.3,13.35,4.85,0.13,0.35,17.4,15,6,6,57.6,53.0,0.12,6.4,5.0,2024-2025 Bundesliga
Hoffenheim,35,34.0,46,440,148,33.6,12.94,4.35,0.1,0.29,17.7,11,3,3,42.6,40.3,0.09,3.4,2.7,35,34.0,65,485,167,34.4,14.26,4.91,0.13,0.37,16.4,16,3,6,55.8,51.1,0.11,9.2,10.9,2024-2025 Bundesliga
Holstein Kiel,27,34.0,49,368,133,36.1,10.82,3.91,0.12,0.34,17.8,12,4,5,39.8,35.9,0.1,9.2,9.1,27,34.0,77,548,188,34.3,16.12,5.53,0.13,0.38,15.7,10,6,7,61.0,55.6,0.1,16.0,15.4,2024-2025 Bundesliga
Leverkusen,23,34.0,70,499,181,36.3,14.68,5.32,0.13,0.37,16.8,12,3,6,56.9,52.0,0.11,13.1,15.0,23,34.0,39,330,130,39.4,9.71,3.82,0.11,0.27,17.2,10,4,4,36.2,33.1,0.1,2.8,1.9,2024-2025 Bundesliga
Mainz 05,25,34.0,53,417,142,34.1,12.26,4.18,0.12,0.35,16.3,11,4,4,50.1,47.0,0.12,2.9,2.0,25,34.0,43,459,145,31.6,13.5,4.26,0.08,0.27,16.7,10,4,5,48.1,44.6,0.1,-5.1,-5.6,2024-2025 Bundesliga
RB Leipzig,29,34.0,51,405,144,35.6,11.91,4.24,0.12,0.33,16.7,11,3,4,46.6,43.4,0.11,4.4,4.6,29,34.0,48,497,155,31.2,14.62,4.56,0.09,0.3,16.2,12,2,3,53.3,51.0,0.11,-5.3,-5.0,2024-2025 Bundesliga
St. Pauli,28,34.0,26,377,109,28.9,11.09,3.21,0.07,0.23,17.4,14,1,2,35.3,33.7,0.09,-9.3,-8.7,28,34.0,40,375,135,36.0,11.03,3.97,0.1,0.29,16.1,6,1,5,45.4,41.5,0.11,-5.4,-2.5,2024-2025 Bundesliga
Stuttgart,29,34.0,61,465,172,37.0,13.68,5.06,0.13,0.34,15.7,9,2,6,62.3,57.7,0.13,-1.3,1.3,29,34.0,52,386,133,34.5,11.35,3.91,0.13,0.38,17.0,10,2,3,46.9,44.5,0.12,5.1,5.5,2024-2025 Bundesliga
Union Berlin,28,34.0,36,414,120,29.0,12.18,3.53,0.08,0.28,16.6,7,3,3,37.0,34.7,0.08,-1.0,-1.7,28,34.0,49,410,133,32.4,12.06,3.91,0.11,0.35,16.9,13,2,6,47.8,43.0,0.11,1.2,4.0,2024-2025 Bundesliga
Werder Bremen,23,34.0,53,424,138,32.5,12.47,4.06,0.12,0.36,16.0,12,3,5,49.1,45.7,0.11,3.9,4.3,23,34.0,54,467,153,32.8,13.74,4.5,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3,2024-2025 Bundesliga
Wolfsburg,27,34.0,53,432,137,31.7,12.71,4.03,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6,27,34.0,53,470,157,33.4,13.82,4.62,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9,2024-2025 Bundesliga
