Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Arsenal,25,38.0,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51.0,55,45.3,45.7,9.7,428,1397,437,75,1826,25,38.0,12192,15255,79.9,214595,73593,5573,6249,89.2,5271,6035,87.3,1095,2295,47.7,24,24.5,24.6,-0.5,263,905,197,60,938,2024-2025 Premier League
Aston Villa,28,38.0,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,28,38.0,14438,17377,83.1,249107,83992,6870,7487,91.8,5962,6755,88.3,1278,2286,55.9,36,36.4,35.8,-0.4,336,1189,295,81,1315,2024-2025 Premier League
Bournemouth,29,38.0,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,29,38.0,14072,18037,78.0,239562,94618,6832,7804,87.5,5701,6768,84.2,1179,2500,47.2,36,36.5,36.3,-0.5,369,1012,334,66,1295,2024-2025 Premier League
Brentford,28,38.0,13358,17100,78.1,245539,93263,5849,6739,86.8,5826,6875,84.7,1449,2741,52.9,44,42.4,38.1,1.6,330,1104,325,91,1356,28,38.0,15047,18708,80.4,255472,89605,7373,8191,90.0,6137,7122,86.2,1248,2566,48.6,42,43.3,41.8,-1.3,501,1279,430,92,1562,2024-2025 Premier League
Brighton,32,38.0,15820,19188,82.4,268916,90984,7629,8443,90.4,6541,7472,87.5,1313,2397,54.8,41,40.4,39.1,0.6,377,1189,339,87,1539,32,38.0,14240,17647,80.7,253402,87854,6260,6967,89.9,6537,7370,88.7,1220,2475,49.3,39,41.3,30.2,-2.3,333,1004,248,44,1209,2024-2025 Premier League
Chelsea,29,38.0,18033,21320,84.6,311166,98339,8067,8802,91.6,8244,9120,90.4,1369,2547,53.7,47,52.7,41.8,-5.7,457,1488,346,73,1595,29,38.0,13008,16240,80.1,225986,83133,6079,6788,89.6,5545,6338,87.5,1116,2317,48.2,33,35.3,29.4,-2.3,283,929,255,62,1206,2024-2025 Premier League
Crystal Palace,29,38.0,11875,15754,75.4,213257,80237,5198,6077,85.5,5285,6317,83.7,1137,2545,44.7,38,46.4,36.6,-8.4,379,886,272,69,1158,29,38.0,17325,21227,81.6,304572,101974,7542,8554,88.2,7895,8939,88.3,1520,2707,56.2,39,38.5,34.4,0.5,373,1360,301,73,1578,2024-2025 Premier League
Everton,26,38.0,11405,14953,76.3,215027,85013,5039,5809,86.7,4604,5451,84.5,1526,2901,52.6,27,32.2,27.2,-5.2,298,1003,261,92,1041,26,38.0,17944,21623,83.0,306074,100829,8349,9200,90.8,7862,8874,88.6,1365,2627,52.0,35,34.6,34.2,0.4,361,1368,331,76,1627,2024-2025 Premier League
Fulham,26,38.0,16199,19753,82.0,289508,97635,7195,8007,89.9,7222,8198,88.1,1504,2703,55.6,44,37.5,35.0,6.5,398,1346,343,108,1558,26,38.0,14692,18069,81.3,250460,87331,6948,7706,90.2,6126,7060,86.8,1212,2371,51.1,40,34.4,30.0,5.6,304,1144,279,65,1396,2024-2025 Premier League
Ipswich Town,32,38.0,11524,14775,78.0,204832,77912,5157,5835,88.4,5115,5988,85.4,1021,2184,46.7,26,24.2,21.2,1.8,283,865,173,54,935,32,38.0,18380,21940,83.8,312842,97353,8645,9483,91.2,8006,8968,89.3,1365,2612,52.3,55,53.5,47.9,1.5,456,1449,417,97,1726,2024-2025 Premier League
Leicester City,32,38.0,13945,17486,79.7,234016,83996,6703,7482,89.6,5797,6664,87.0,1073,2370,45.3,25,25.1,24.1,-0.1,252,953,216,67,1082,32,38.0,17576,21079,83.4,302665,99007,8208,9124,90.0,7627,8620,88.5,1431,2419,59.2,57,52.2,51.2,4.8,490,1418,435,109,1755,2024-2025 Premier League
Liverpool,24,38.0,18303,21758,84.1,312343,104887,8615,9382,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924,24,38.0,12622,15957,79.1,216073,79156,5991,6722,89.1,5211,6052,86.1,1078,2250,47.9,28,29.4,25.2,-1.4,283,842,210,49,1091,2024-2025 Premier League
Manchester City,30,38.0,21531,24443,88.1,349984,98901,11071,11923,92.9,8884,9710,91.5,1281,2040,62.8,51,54.2,53.8,-3.2,472,1685,440,62,1944,30,38.0,12668,15459,81.9,221100,77112,5940,6537,90.9,5254,5900,89.1,1184,2251,52.6,32,37.2,29.4,-5.2,277,784,248,78,912,2024-2025 Premier League
Manchester Utd,31,38.0,16837,20415,82.5,278154,89708,8233,9125,90.2,6855,7768,88.2,1257,2438,51.6,29,39.7,35.6,-10.7,406,1141,335,73,1448,31,38.0,14277,17770,80.3,237786,82285,6938,7804,88.9,5842,6729,86.8,1071,2230,48.0,36,38.4,32.2,-2.4,309,1064,239,59,1184,2024-2025 Premier League
Newcastle Utd,24,38.0,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46.0,42.2,4.0,399,1149,399,70,1595,24,38.0,14333,17858,80.3,244975,85080,7047,7756,90.9,5735,6620,86.6,1213,2556,47.5,41,35.9,31.6,5.1,364,1170,276,65,1273,2024-2025 Premier League
Nott'ham Forest,23,38.0,10822,14366,75.3,185832,74897,5322,6094,87.3,4065,5011,81.1,1038,2339,44.4,42,33.0,29.9,9.0,333,974,241,64,1125,23,38.0,16965,20627,82.2,289408,96915,7747,8667,89.4,7609,8672,87.7,1251,2387,52.4,35,35.2,36.5,-0.2,396,1483,375,92,1886,2024-2025 Premier League
Southampton,36,38.0,15530,18561,83.7,263566,84964,7279,7996,91.0,6699,7455,89.9,1175,2271,51.7,16,24.8,23.9,-8.8,269,989,218,60,1127,36,38.0,16575,19683,84.2,277016,92382,7944,8739,90.9,7112,7939,89.6,1153,2153,53.6,61,63.0,50.1,-2.0,521,1359,421,86,1647,2024-2025 Premier League
Tottenham,31,38.0,16513,19960,82.7,275248,93006,7576,8440,89.8,7372,8289,88.9,1101,2084,52.8,47,44.4,36.3,2.6,375,1254,369,83,1593,31,38.0,13104,16529,79.3,231356,83331,6060,6844,88.5,5408,6248,86.6,1301,2506,51.9,43,46.3,37.6,-3.3,381,1057,331,95,1330,2024-2025 Premier League
West Ham,27,38.0,14820,18363,80.7,258653,90743,6989,7831,89.2,6245,7153,87.3,1346,2580,52.2,29,33.9,32.0,-4.9,331,1075,267,72,1222,27,38.0,15814,19489,81.1,272231,91982,7440,8388,88.7,6663,7690,86.6,1367,2532,54.0,45,47.6,43.0,-2.6,456,1386,392,97,1622,2024-2025 Premier League
Wolves,32,38.0,14472,17884,80.9,246100,83847,6855,7612,90.1,5909,6712,88.0,1251,2503,50.0,42,35.4,26.6,6.6,323,1011,276,72,1185,32,38.0,15875,19341,82.1,273323,93838,7424,8257,89.9,6871,7817,87.9,1283,2372,54.1,47,41.5,35.5,5.5,358,1269,331,71,1534,2024-2025 Premier League
Atalanta,32,38.0,17454,20998,83.1,304878,97688,7796,8669,89.9,7832,8892,88.1,1506,2528,59.6,54,46.9,46.4,7.1,425,1382,395,113,1824,32,38.0,13516,16956,79.7,242842,92365,5825,6592,88.4,6097,6980,87.3,1293,2541,50.9,26,27.5,23.7,-1.5,282,897,199,60,988,2024-2025 Serie A
Bologna,30,38.0,15681,19336,81.1,295869,97686,6113,6881,88.8,7530,8561,88.0,1765,3072,57.5,43,35.2,30.7,7.8,384,1351,293,109,1468,30,38.0,10464,14028,74.6,193512,77127,4277,5049,84.7,4732,5601,84.5,1160,2491,46.6,32,25.4,22.5,6.6,249,646,166,36,876,2024-2025 Serie A
Cagliari,28,38.0,12092,15802,76.5,219114,88994,5258,6076,86.5,5403,6411,84.3,1218,2515,48.4,31,32.0,29.3,-1.0,301,907,234,89,1150,28,38.0,16100,19649,81.9,279075,98240,7324,8136,90.0,7025,8006,87.7,1399,2631,53.2,40,40.2,34.3,-0.2,383,1228,315,90,1504,2024-2025 Serie A
Como,38,38.0,15917,19183,83.0,268133,95134,7607,8351,91.1,6561,7392,88.8,1286,2359,54.5,39,36.6,30.8,2.4,405,1150,279,60,1377,38,38.0,12785,16090,79.5,236912,83289,5140,5832,88.1,5950,6818,87.3,1418,2626,54.0,35,28.9,25.1,6.1,270,885,217,61,1116,2024-2025 Serie A
Empoli,34,38.0,10093,13916,72.5,186741,74734,4015,4844,82.9,4558,5549,82.1,1180,2624,45.0,21,22.9,19.4,-1.9,269,799,214,71,1013,34,38.0,16105,19935,80.8,292165,101211,6767,7646,88.5,7254,8317,87.2,1703,3016,56.5,48,37.2,33.4,10.8,391,1191,305,101,1402,2024-2025 Serie A
Fiorentina,34,38.0,14193,17510,81.1,262148,91970,5771,6478,89.1,6566,7504,87.5,1565,2733,57.3,37,35.1,27.4,1.9,336,984,244,74,1240,34,38.0,13849,17215,80.4,246433,87199,6068,6877,88.2,6133,7047,87.0,1359,2527,53.8,29,30.5,30.2,-1.5,340,1034,256,89,1277,2024-2025 Serie A
Genoa,37,38.0,12025,15727,76.5,221047,81991,4811,5621,85.6,5664,6683,84.8,1243,2515,49.4,27,26.8,22.6,0.2,285,737,201,78,980,37,38.0,15111,18823,80.3,272067,92356,6398,7265,88.1,6966,7986,87.2,1456,2682,54.3,31,33.9,33.2,-2.9,370,1084,314,79,1375,2024-2025 Serie A
Hellas Verona,32,38.0,9854,13457,73.2,178691,69540,4411,5150,85.7,4092,4944,82.8,1079,2569,42.0,20,24.8,20.6,-4.8,276,824,189,61,1011,32,38.0,17933,21566,83.2,318278,105498,7656,8526,89.8,8215,9257,88.7,1657,2784,59.5,48,39.1,32.9,8.9,371,1306,287,69,1593,2024-2025 Serie A
Inter,26,38.0,19412,22592,85.9,343835,107852,8329,9108,91.4,8987,9926,90.5,1751,2661,65.8,57,48.3,49.0,8.7,434,1353,410,119,1730,26,38.0,12179,15118,80.6,219392,76932,5411,6058,89.3,5149,5932,86.8,1335,2386,56.0,20,25.5,24.2,-5.5,303,868,214,77,1064,2024-2025 Serie A
Juventus,29,38.0,18259,21231,86.0,316000,98768,8378,9109,92.0,8078,8869,91.1,1473,2432,60.6,40,35.9,33.2,4.1,393,1390,305,67,1561,29,38.0,12602,15648,80.5,231595,80304,5176,5826,88.8,5815,6627,87.7,1323,2389,55.4,22,21.4,24.0,0.6,284,914,198,63,1097,2024-2025 Serie A
Lazio,27,38.0,16400,19521,84.0,296409,96569,6959,7646,91.0,7447,8298,89.7,1670,2729,61.2,43,38.5,34.7,4.5,403,1374,323,102,1588,27,38.0,13007,16062,81.0,237192,83373,5396,6106,88.4,6085,6918,88.0,1257,2284,55.0,34,28.2,25.7,5.8,281,931,242,100,1133,2024-2025 Serie A
Lecce,31,38.0,11490,15087,76.2,215443,81823,4757,5501,86.5,5029,5971,84.2,1465,2862,51.2,21,24.5,20.5,-3.5,322,852,222,93,1071,31,38.0,15740,19450,80.9,275687,94151,7020,7850,89.4,6974,8018,87.0,1395,2590,53.9,37,37.8,37.1,-0.8,386,1317,358,107,1685,2024-2025 Serie A
Milan,35,38.0,16335,19101,85.5,290496,97134,6939,7660,90.6,7732,8519,90.8,1389,2238,62.1,43,46.8,39.3,-3.8,442,1198,342,77,1589,35,38.0,13716,16519,83.0,244709,85222,5936,6512,91.2,6145,6886,89.2,1330,2375,56.0,35,33.5,28.1,1.5,343,1010,253,80,1228,2024-2025 Serie A
Monza,36,38.0,14248,17515,81.3,257293,87427,5982,6697,89.3,6561,7422,88.4,1412,2561,55.1,18,20.9,18.2,-2.9,245,895,196,72,1096,36,38.0,15588,18811,82.9,278149,94234,6693,7487,89.4,7045,7911,89.1,1509,2589,58.3,54,41.7,36.2,12.3,454,1363,326,86,1599,2024-2025 Serie A
Napoli,27,38.0,16894,20033,84.3,299923,98597,7296,8074,90.4,7665,8530,89.9,1582,2497,63.4,42,39.1,35.4,2.9,391,1235,318,76,1546,27,38.0,13635,16831,81.0,243915,77499,5916,6608,89.5,6133,7005,87.6,1303,2490,52.3,18,21.7,24.1,-3.7,263,990,224,60,1142,2024-2025 Serie A
Parma,32,38.0,12509,15805,79.1,227371,84995,5238,5993,87.4,5643,6511,86.7,1289,2504,51.5,31,29.3,24.5,1.7,316,890,217,59,1059,32,38.0,16404,19940,82.3,291222,98437,7039,7856,89.6,7622,8561,89.0,1435,2574,55.7,42,41.7,34.5,0.3,414,1337,364,124,1761,2024-2025 Serie A
Roma,28,38.0,17016,20265,84.0,300183,96685,7364,8133,90.5,7726,8590,89.9,1535,2676,57.4,35,35.0,32.8,0.0,391,1302,314,81,1501,28,38.0,14165,17333,81.7,256395,88124,5861,6621,88.5,6692,7578,88.3,1355,2425,55.9,21,26.7,24.5,-5.7,323,1065,259,83,1278,2024-2025 Serie A
Torino,31,38.0,13578,17008,79.8,249577,86249,5650,6464,87.4,6225,7103,87.6,1445,2696,53.6,21,22.5,25.9,-1.5,276,980,250,86,1113,31,38.0,15347,18718,82.0,278779,95303,6533,7277,89.8,6923,7856,88.1,1587,2836,56.0,30,34.7,31.3,-4.7,395,1207,317,107,1346,2024-2025 Serie A
Udinese,31,38.0,12945,16279,79.5,239290,82480,5322,6027,88.3,5751,6676,86.1,1552,2764,56.2,28,27.2,24.8,0.8,313,969,242,103,1160,31,38.0,14788,18221,81.2,268975,86699,5990,6768,88.5,6925,7850,88.2,1531,2709,56.5,30,35.6,28.3,-5.6,365,956,274,88,1282,2024-2025 Serie A
Venezia,36,38.0,11573,15155,76.4,201752,77791,5144,5977,86.1,5103,6078,84.0,1002,2218,45.2,16,22.2,22.3,-6.2,282,813,215,58,1066,36,38.0,14934,18608,80.3,266899,96544,6714,7567,88.7,6273,7275,86.2,1602,2808,57.1,35,39.3,34.2,-4.3,422,1156,315,88,1397,2024-2025 Serie A
Angers,30,34.0,11082,14057,78.8,195284,73447,4970,5624,88.4,4828,5656,85.4,1022,2043,50.0,17,23.5,22.7,-6.5,216,777,200,63,953,30,34.0,17341,20419,84.9,292009,95868,8061,8942,90.1,7513,8436,89.1,1314,2102,62.5,40,42.2,46.5,-2.2,365,1390,352,77,1776,2024-2025 Ligue 1
Auxerre,29,34.0,11002,14162,77.7,201495,77527,4812,5517,87.2,4576,5349,85.5,1301,2498,52.1,35,32.0,24.3,3.0,296,804,212,68,1084,29,34.0,15891,19181,82.8,270706,93956,7333,8152,90.0,7068,7979,88.6,1159,2173,53.3,36,43.9,43.8,-7.9,348,1272,301,79,1522,2024-2025 Ligue 1
Brest,30,34.0,12678,16021,79.1,235901,85305,5284,6055,87.3,5575,6467,86.2,1526,2732,55.9,32,29.4,30.3,2.6,302,929,189,64,1096,30,34.0,14071,17260,81.5,249498,90246,6084,6890,88.3,6299,7130,88.3,1345,2330,57.7,39,38.5,37.2,0.5,309,1098,310,72,1521,2024-2025 Ligue 1
Le Havre,31,34.0,11125,14115,78.8,205190,72072,4445,5095,87.2,5289,6120,86.4,1156,2182,53.0,21,24.4,25.8,-3.4,230,786,201,85,1051,31,34.0,15963,18901,84.5,276027,91610,7062,7824,90.3,7334,8131,90.2,1227,2109,58.2,50,45.3,42.8,4.7,356,1381,332,81,1639,2024-2025 Ligue 1
Lens,33,34.0,14837,18173,81.6,244876,87655,7330,8209,89.3,5806,6685,86.9,1219,2163,56.4,26,36.2,41.1,-10.2,365,1117,354,100,1451,33,34.0,12550,15716,79.9,215114,78352,5800,6604,87.8,5360,6157,87.1,1062,2124,50.0,25,29.7,29.0,-4.7,279,886,237,55,1095,2024-2025 Ligue 1
Lille,27,34.0,16765,19728,85.0,293593,93730,7248,8031,90.3,7757,8568,90.5,1382,2203,62.7,29,35.1,40.0,-6.1,318,1393,345,70,1616,27,34.0,11769,14644,80.4,209391,72017,5204,5852,88.9,5188,5921,87.6,1116,2179,51.2,23,29.0,29.5,-6.0,245,696,184,48,945,2024-2025 Ligue 1
Lyon,31,34.0,16061,19063,84.3,263677,88666,7944,8738,90.9,6605,7372,89.6,1102,1978,55.7,46,44.4,52.5,1.6,350,1215,371,58,1615,31,34.0,11925,14734,80.9,207322,75383,5510,6209,88.7,4982,5749,86.7,1128,2031,55.5,32,33.0,30.0,-1.0,329,882,249,58,1135,2024-2025 Ligue 1
Marseille,32,34.0,20427,23240,87.9,323783,101486,10229,10983,93.1,8543,9350,91.4,1062,1793,59.2,49,44.6,43.4,4.4,381,1513,325,69,1714,32,34.0,10643,13334,79.8,187240,66087,4796,5416,88.6,4565,5253,86.9,1024,1968,52.0,35,31.5,25.0,3.5,235,805,151,45,872,2024-2025 Ligue 1
Monaco,28,34.0,14561,17916,81.3,245412,90154,6877,7784,88.3,6192,7109,87.1,1143,2134,53.6,49,55.3,54.1,-6.3,390,1232,391,59,1638,28,34.0,11573,14908,77.6,199209,78560,5574,6358,87.7,4552,5515,82.5,1135,2175,52.2,30,26.4,24.0,3.6,260,862,224,57,1218,2024-2025 Ligue 1
Montpellier,35,34.0,11442,14420,79.3,210740,76029,4844,5530,87.6,4897,5675,86.3,1384,2425,57.1,13,23.0,23.6,-10.0,255,875,169,75,1039,35,34.0,14766,17484,84.5,247643,88576,7001,7694,91.0,6243,7038,88.7,1132,1897,59.7,58,44.1,43.4,13.9,401,1104,309,75,1461,2024-2025 Ligue 1
Nantes,30,34.0,10999,13956,78.8,198112,76026,4741,5379,88.1,4886,5607,87.1,1116,2236,49.9,27,27.8,26.3,-0.8,257,878,216,85,1053,30,34.0,17979,21062,85.4,304866,99413,8261,9051,91.3,7932,8778,90.4,1355,2267,59.8,33,39.3,47.8,-6.3,321,1412,336,76,1728,2024-2025 Ligue 1
Nice,31,34.0,13129,16103,81.5,221429,82784,6345,7100,89.4,5509,6336,86.9,1015,1909,53.2,43,42.9,40.6,0.1,353,951,321,65,1320,31,34.0,14744,17860,82.6,255386,86373,6652,7365,90.3,6581,7396,89.0,1196,2270,52.7,30,31.2,33.6,-1.2,351,1131,282,65,1314,2024-2025 Ligue 1
Paris S-G,28,34.0,23156,25781,89.8,384671,110280,10887,11622,93.7,10098,10815,93.4,1623,2267,71.6,69,70.8,61.3,-1.8,521,1849,450,71,2123,28,34.0,9330,12016,77.6,160077,67171,4500,5171,87.0,3518,4163,84.5,963,1851,52.0,22,22.7,22.0,-0.7,232,651,196,41,874,2024-2025 Ligue 1
Reims,34,34.0,11657,14602,79.8,203427,75490,5338,6018,88.7,4868,5628,86.5,1110,2150,51.6,19,26.5,28.4,-7.5,276,861,224,80,1156,34,34.0,15620,18726,83.4,265583,88621,7076,7779,91.0,6968,7833,89.0,1181,2202,53.6,32,40.5,41.6,-8.5,366,1338,360,86,1636,2024-2025 Ligue 1
Rennes,35,34.0,13914,16913,82.3,244981,84751,6055,6811,88.9,6276,7138,87.9,1246,2132,58.4,32,29.6,32.5,2.4,318,1083,265,62,1440,35,34.0,13238,16323,81.1,231343,80233,5958,6681,89.2,5754,6546,87.9,1217,2273,53.5,37,33.7,32.5,3.3,291,894,257,67,1144,2024-2025 Ligue 1
Saint-Ã‰tienne,32,34.0,13001,15954,81.5,218182,80494,6224,6913,90.0,5489,6265,87.6,973,1997,48.7,28,24.6,26.5,3.4,269,1024,237,34,1262,32,34.0,15120,18133,83.4,261034,92489,7107,7856,90.5,6180,7024,88.0,1405,2283,61.5,41,47.2,46.1,-6.2,390,1117,335,85,1467,2024-2025 Ligue 1
Strasbourg,30,34.0,14667,17462,84.0,252607,87865,6434,7096,90.7,6989,7831,89.2,998,1882,53.0,43,38.5,32.5,4.5,273,896,216,50,1204,30,34.0,14255,17314,82.3,252105,86979,6261,6940,90.2,6372,7160,89.0,1305,2353,55.5,21,39.1,40.9,-18.1,338,1068,308,92,1361,2024-2025 Ligue 1
Toulouse,27,34.0,11674,14867,78.5,203673,74918,5182,5953,87.0,5259,6118,86.0,964,2027,47.6,34,34.7,38.0,-0.7,297,879,284,65,1219,27,34.0,15399,18518,83.2,262480,86745,6949,7674,90.6,7033,7880,89.3,1078,2164,49.8,28,26.0,28.1,2.0,251,1075,247,64,1326,2024-2025 Ligue 1
Augsburg,29,34.0,11577,14936,77.5,213228,82617,4900,5714,85.8,5187,6033,86.0,1267,2377,53.3,26,25.1,33.1,0.9,296,905,248,77,1162,29,34.0,15484,19055,81.3,271400,94371,7005,7819,89.6,6730,7782,86.5,1435,2550,56.3,31,35.0,41.4,-4.0,339,1201,323,95,1438,2024-2025 Bundesliga
Bayern Munich,29,34.0,22755,25733,88.4,376161,117553,11338,12153,93.3,9489,10320,91.9,1548,2329,66.5,66,59.7,75.9,6.3,511,2131,464,67,2138,29,34.0,9140,12083,75.6,168971,67192,3892,4478,86.9,3959,4689,84.4,1027,2206,46.6,25,18.1,20.4,6.9,174,579,156,36,669,2024-2025 Bundesliga
Bochum,27,34.0,10281,14230,72.2,202499,85811,3889,4696,82.8,4761,5852,81.4,1433,2841,50.4,23,30.0,35.5,-7.0,308,865,235,76,1090,27,34.0,14057,17796,79.0,246536,93752,6403,7293,87.8,5999,7045,85.2,1331,2488,53.5,52,49.1,49.6,2.9,374,1121,304,62,1447,2024-2025 Bundesliga
Dortmund,28,34.0,17077,20321,84.0,295202,98274,7783,8536,91.2,7542,8376,90.0,1403,2463,57.0,56,47.4,50.4,8.6,372,1348,324,86,1563,28,34.0,10934,14210,76.9,194402,77129,4948,5650,87.6,4591,5486,83.7,1108,2219,49.9,39,30.9,35.6,8.1,275,780,265,75,1058,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,13925,17138,81.3,233650,85985,6627,7329,90.4,5810,6682,87.0,1094,2198,49.8,47,45.2,43.6,1.8,354,1033,308,55,1347,26,34.0,14160,17664,80.2,247774,90416,6684,7472,89.5,5871,6806,86.3,1328,2508,53.0,28,35.6,40.0,-7.6,348,1198,291,87,1289,2024-2025 Bundesliga
Freiburg,26,34.0,12892,16460,78.3,230139,83746,5552,6386,86.9,5789,6731,86.0,1209,2417,50.0,35,30.5,36.3,4.5,285,981,253,74,1129,26,34.0,14111,17514,80.6,250870,92325,6283,7139,88.0,6186,7067,87.5,1336,2445,54.6,39,30.7,36.4,8.3,314,1060,288,82,1182,2024-2025 Bundesliga
Gladbach,26,34.0,14148,17507,80.8,245327,87390,6502,7257,89.6,6076,7009,86.7,1261,2322,54.3,39,37.7,34.9,1.3,308,848,278,93,1112,26,34.0,14473,17850,81.1,249718,89898,6579,7410,88.8,6307,7286,86.6,1235,2247,55.0,34,45.2,51.9,-11.2,437,1151,373,113,1520,2024-2025 Bundesliga
Heidenheim,27,34.0,11127,14684,75.8,215269,83343,4145,4986,83.1,5303,6225,85.2,1428,2682,53.2,26,28.6,31.4,-2.6,294,806,231,84,974,27,34.0,15818,19390,81.6,273427,102087,7266,8148,89.2,6849,7849,87.3,1348,2454,54.9,50,43.1,46.5,6.9,350,1319,303,58,1620,2024-2025 Bundesliga
Hoffenheim,35,34.0,12827,16506,77.7,225491,85704,5746,6593,87.2,5461,6522,83.7,1221,2444,50.0,30,32.7,38.9,-2.7,324,1041,298,108,1218,35,34.0,14007,17470,80.2,249473,93244,6350,7134,89.0,5860,6816,86.0,1479,2601,56.9,51,41.4,48.9,9.6,356,1178,338,89,1347,2024-2025 Bundesliga
Holstein Kiel,27,34.0,10537,13961,75.5,201828,79435,4072,4768,85.4,5038,5991,84.1,1261,2558,49.3,29,26.7,27.8,2.3,266,676,181,69,875,27,34.0,14775,18342,80.6,260356,92440,6586,7379,89.3,6421,7467,86.0,1395,2553,54.6,52,44.5,53.6,7.5,418,1350,360,126,1572,2024-2025 Bundesliga
Leverkusen,23,34.0,18301,21589,84.8,299589,100139,9397,10227,91.9,7044,7969,88.4,1397,2377,58.8,53,41.9,52.1,11.1,387,1610,319,83,1692,23,34.0,11597,14768,78.5,202155,74281,5341,6051,88.3,4827,5642,85.6,1109,2247,49.4,25,22.8,28.3,2.2,241,862,203,46,984,2024-2025 Bundesliga
Mainz 05,25,34.0,12478,16434,75.9,222290,85770,5681,6560,86.6,5218,6226,83.8,1280,2671,47.9,37,37.5,45.0,-0.5,319,1038,309,93,1286,25,34.0,12368,16234,76.2,222854,83971,5321,6220,85.5,5441,6465,84.2,1276,2660,48.0,28,31.2,39.5,-3.2,328,1061,265,86,1123,2024-2025 Bundesliga
RB Leipzig,29,34.0,14698,18207,80.7,247957,90938,6822,7749,88.0,6428,7472,86.0,1090,2013,54.1,36,35.6,40.0,0.4,313,1138,306,52,1353,29,34.0,13082,16691,78.4,229606,87124,5968,6842,87.2,5425,6330,85.7,1308,2485,52.6,35,38.8,49.2,-3.8,367,1007,302,93,1275,2024-2025 Bundesliga
St. Pauli,28,34.0,11751,15300,76.8,208523,79611,5086,5835,87.2,5248,6213,84.5,1110,2391,46.4,22,26.3,28.7,-4.3,278,892,201,72,1073,28,34.0,16017,19511,82.1,283049,94838,6968,7806,89.3,7301,8280,88.2,1407,2474,56.9,30,35.0,37.8,-5.0,300,1241,275,66,1388,2024-2025 Bundesliga
Stuttgart,29,34.0,16513,19767,83.5,272424,97064,8302,9120,91.0,6590,7479,88.1,1230,2270,54.2,45,45.3,52.7,-0.3,370,1291,372,90,1493,29,34.0,11408,14746,77.4,203317,78239,4970,5734,86.7,4936,5782,85.4,1179,2335,50.5,34,33.8,35.2,0.2,284,811,237,56,1023,2024-2025 Bundesliga
Union Berlin,28,34.0,9960,13705,72.7,178823,74942,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,25,23.5,31.6,1.5,292,792,239,75,1049,28,34.0,16465,20253,81.3,291665,98135,6966,7921,87.9,7697,8708,88.4,1456,2714,53.6,36,32.4,41.9,3.6,295,1264,306,88,1491,2024-2025 Bundesliga
Werder Bremen,23,34.0,13999,17550,79.8,250040,91419,5827,6663,87.5,6247,7263,86.0,1455,2530,57.5,38,37.4,44.0,0.6,327,954,335,91,1351,23,34.0,14300,17808,80.3,246128,90286,6723,7496,89.7,6054,7014,86.3,1217,2399,50.7,39,36.3,42.7,2.7,353,1067,274,59,1336,2024-2025 Bundesliga
Wolfsburg,27,34.0,11590,15088,76.8,219100,82094,4735,5598,84.6,5178,6041,85.7,1421,2665,53.3,38,33.0,36.5,5.0,316,999,247,53,1205,27,34.0,14240,17731,80.3,245839,92107,6618,7474,88.5,5949,6888,86.4,1290,2363,54.6,43,40.5,39.7,2.5,367,1098,285,81,1348,2024-2025 Bundesliga
