Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
29,45.3,1876,5802,8634,4809,691,478,185,38.7,245,51.3,9128,449,346,90,598,307,10419,1148,54.7,22689,2367,7584,10446,4876,659,810,378,46.7,348,43.0,11958,573,440,137,645,389,14127,1309
31,48.4,1884,6255,10334,5382,760,791,328,41.5,388,49.1,11368,682,444,188,597,401,13522,1561,51.6,23225,2765,9110,10141,4156,588,633,283,44.7,296,46.8,12464,468,345,111,608,281,14809,1168
24,52.6,2335,8013,11493,6074,860,639,276,43.2,305,47.7,15829,760,579,167,541,275,17707,1553,47.4,23851,2405,6916,11439,5686,619,694,308,44.4,319,46.0,13506,581,479,100,577,300,16092,1533
28,68.3,1857,6516,14966,8535,1208,909,455,50.1,375,41.3,18077,860,667,238,579,316,22187,2201,31.7,16221,2896,7293,6081,3011,566,572,249,43.5,271,47.4,7646,406,246,147,545,267,8434,769
36,52.4,2253,7466,10545,6088,921,722,312,43.2,344,47.6,13910,679,532,228,676,378,15627,1468,47.6,22048,2459,7355,9895,5002,750,702,302,43.0,342,48.7,11838,611,421,165,564,303,13770,1394
30,53.6,2232,7618,12133,5574,831,628,254,40.4,312,49.7,15010,709,500,218,558,296,17691,1649,46.4,22435,2437,7311,10538,4807,676,638,290,45.5,286,44.8,12857,564,463,144,527,269,14814,1209
27,39.8,2655,7408,7625,3582,548,546,221,40.5,266,48.7,9361,497,359,109,561,241,10490,991,60.2,25692,1881,6559,12682,6675,1016,686,300,43.7,310,45.2,15118,838,604,195,585,330,17827,1808
30,41.8,1770,5183,7998,4646,675,631,265,42.0,312,49.4,7825,368,311,105,719,357,8611,966,58.2,22942,2431,8144,10481,4497,630,740,332,44.9,333,45.0,11645,499,343,123,641,312,13820,1269
30,56.3,2516,7829,11533,5912,795,634,291,45.9,276,43.5,15275,765,553,180,522,312,18040,1684,43.7,20788,2333,7034,8948,5006,779,620,265,42.7,292,47.1,11640,582,402,202,476,277,13689,1174
34,50.7,2561,7809,10353,4511,669,571,239,41.9,288,50.4,11365,499,346,113,547,275,14222,1197,49.3,22205,2110,6608,10200,5612,931,654,285,43.6,307,46.9,11832,684,471,197,638,312,13983,1457
26,42.6,2448,7029,8720,3764,482,627,302,48.2,263,41.9,9782,417,364,105,575,314,11128,1023,57.4,24252,1859,6747,11160,6562,957,683,304,44.5,295,43.2,13277,754,561,191,609,338,16152,1661
28,46.8,2598,7168,9299,4391,635,583,255,43.7,260,44.6,10945,479,409,85,567,377,12481,1169,53.2,22970,2030,6645,10519,6025,901,549,243,44.3,257,46.8,12758,693,462,189,577,327,14846,1572
25,46.1,2263,6318,8904,5007,737,592,260,43.9,279,47.1,10439,567,424,134,532,293,12053,1204,53.9,23180,2310,7397,10374,5622,821,671,307,45.8,311,46.3,12868,647,491,168,675,303,15079,1535
26,51.7,2557,7799,9339,5455,711,647,286,44.2,304,47.0,12068,589,431,143,630,327,13833,1346,48.3,21249,2413,7416,9160,4906,774,740,355,48.0,309,41.8,10729,613,434,161,630,318,12661,1318
30,60.4,2392,7662,12794,8048,1181,878,412,46.9,384,43.7,17893,983,696,364,528,290,21223,1953,39.6,19910,2621,7172,8356,4578,643,521,222,42.6,264,50.7,11509,648,470,160,476,322,12876,1155
31,53.8,2275,7208,10770,5243,747,659,295,44.8,307,46.6,12533,645,417,163,603,297,14716,1325,46.2,20816,2394,7200,8796,5046,752,643,271,42.1,308,47.9,10345,538,384,168,618,341,12516,1128
35,50.5,2404,8057,9800,4813,669,720,339,47.1,320,44.4,11147,594,397,161,624,331,14288,1186,49.5,22206,2259,7100,10193,5095,670,637,251,39.4,312,49.0,12283,551,423,139,527,336,14188,1249
32,48.4,2290,7206,9840,5033,653,625,236,37.8,321,51.4,11347,572,414,122,535,340,13802,1328,51.6,23232,2269,7471,10614,5323,743,633,252,39.8,321,50.7,12610,589,414,156,581,326,15181,1403
38,42.8,2681,8158,8153,3393,523,624,289,46.3,266,42.6,9680,476,316,120,513,268,11933,976,57.2,24328,1805,5842,11908,6783,982,616,290,47.1,276,44.8,14005,724,592,199,547,320,16996,1741
31,47.6,2612,7831,9120,5352,983,627,279,44.5,278,44.3,12034,693,503,202,560,289,14383,1510,52.4,23983,2415,7431,10422,6344,822,689,292,42.4,336,48.8,14128,720,563,183,519,313,16496,1586
30,41.8,2162,6122,7564,4706,764,625,310,49.6,254,40.6,8574,550,364,138,572,299,9972,1252,58.2,24410,2398,7446,11388,5787,818,698,339,48.6,290,41.5,13762,744,542,187,663,288,16187,1487
35,46.4,2654,7711,9323,4094,614,667,299,44.8,314,47.1,11128,590,424,132,550,269,12660,1082,53.6,23390,2099,6542,10880,6169,1003,641,302,47.1,280,43.7,13182,751,563,204,518,353,15316,1620
27,49.8,1965,6376,10617,6083,901,743,338,45.5,349,47.0,12487,735,528,193,571,366,14367,1596,50.2,23484,2691,8965,10228,4515,674,707,330,46.7,305,43.1,12385,521,413,127,636,276,14757,1281
27,50.8,2368,7880,11405,5662,954,567,297,52.4,227,40.0,14402,758,546,181,533,303,16931,1580,49.2,24093,2473,7087,11377,5862,780,734,344,46.9,327,44.6,13383,648,485,140,585,327,16293,1533
29,64.3,2191,7360,14262,7313,1077,826,384,46.5,338,40.9,17768,964,728,262,605,305,21296,1911,35.7,17756,2590,6676,7139,4146,710,583,280,48.0,243,41.7,8889,487,364,162,466,328,10372,982
35,50.4,2339,7497,10512,5555,886,793,386,48.7,329,41.5,13053,676,495,186,626,427,15184,1424,49.6,23260,2492,7590,10639,5269,717,744,325,43.7,358,48.1,12459,649,532,144,556,334,15032,1440
34,43.3,2242,6375,8425,4551,570,537,230,42.8,263,49.0,9664,456,422,76,571,343,10662,996,56.7,24061,2102,7017,10887,6383,796,807,387,48.0,342,42.4,13220,787,604,170,628,330,15630,1662
31,46.1,2314,7084,9675,5538,818,646,295,45.7,291,45.0,12540,660,489,162,600,336,13773,1332,53.9,25210,2323,7202,12448,5778,865,726,354,48.8,308,42.4,14322,651,474,161,604,319,16825,1517
33,44.8,2020,5619,8971,4848,684,552,239,43.3,261,47.3,9360,439,385,122,576,281,10603,1124,55.2,22993,2488,8205,10305,4717,750,640,286,44.7,291,45.5,12328,599,404,146,629,317,14334,1309
25,56.9,2695,8432,11583,5985,977,745,353,47.4,297,39.9,16055,894,599,234,584,376,18610,1673,43.1,20464,2336,6616,8688,5391,863,575,247,43.0,274,47.7,11743,610,486,160,492,270,13251,1269
40,45.6,2413,7720,8677,3997,667,658,303,46.0,296,45.0,10969,512,379,112,600,305,12010,1030,54.4,23519,2136,6926,10791,6025,843,687,334,48.6,289,42.1,13379,728,542,175,598,348,15349,1478
29,59.2,2667,9077,12876,5282,614,680,316,46.5,308,45.3,15544,577,459,116,645,365,18955,1573,40.8,19855,2120,6381,8981,4703,833,687,328,47.7,305,44.4,10333,584,379,190,566,357,11762,1191
25,45.0,2279,6620,8961,4390,672,511,251,49.1,219,42.9,9848,498,377,108,566,313,11353,1155,55.0,23564,2063,6405,11512,5867,711,718,317,44.2,340,47.4,13445,663,580,151,616,346,15209,1386
29,47.5,2147,6244,9526,5586,720,530,237,44.7,247,46.6,10522,501,408,97,540,283,12730,1306,52.5,23425,2440,7860,10580,5164,768,589,274,46.5,243,41.3,13001,646,459,171,692,282,14838,1414
26,49.4,2306,7210,9672,5091,669,653,283,43.3,306,46.9,10906,506,368,116,634,373,13171,1327,50.6,21917,2382,7287,9837,5015,770,673,338,50.2,270,40.1,11508,658,446,165,621,360,13403,1351
27,59.2,2455,7880,13241,7813,1156,889,401,45.1,393,44.2,18483,950,802,315,480,312,21642,1923,40.8,20983,2668,7335,9155,4702,615,504,236,46.8,225,44.6,12788,583,460,127,502,332,13956,1247
31,55.3,2214,6934,11207,5377,769,681,321,47.1,284,41.7,12972,685,465,175,612,351,15092,1402,44.7,19722,2455,7311,8526,4089,603,619,269,43.5,283,45.7,9987,405,318,99,578,368,11578,936
35,50.3,2261,7429,10033,5652,746,632,292,46.2,278,44.0,12225,635,447,146,620,280,14506,1406,49.7,22884,2402,7397,10296,5374,787,692,291,42.1,335,48.4,12098,693,492,188,536,362,14675,1469
29,44.3,2323,7222,9012,4440,593,644,276,42.9,294,45.7,10723,522,399,136,582,318,12130,1151,55.7,24786,2064,7654,11522,5816,801,698,309,44.3,309,44.3,14210,621,459,147,635,348,16546,1575
32,49.6,2879,8003,9685,5250,848,723,351,48.5,329,45.5,12248,654,491,189,570,356,15179,1548,50.4,23143,2172,6893,10048,6441,992,580,272,46.9,260,44.8,13049,734,573,182,516,316,15513,1644
29,45.1,2715,7746,8468,4071,631,666,296,44.4,310,46.5,10792,569,433,131,580,281,12047,1080,54.9,23165,1977,6271,10606,6490,1018,711,343,48.2,280,39.4,13816,860,626,236,483,277,15280,1692
26,51.6,1978,6159,10166,6645,931,734,347,47.3,305,41.6,12898,864,587,217,554,351,14284,1801,48.4,21997,2875,8384,9237,4606,626,719,320,44.5,322,44.8,12125,549,410,135,600,286,13412,1202
27,50.6,2414,7790,11103,5714,934,656,322,49.1,262,39.9,13701,730,473,200,486,277,16706,1557,49.4,24043,2425,7018,11697,5530,691,764,351,45.9,334,43.7,14819,729,515,146,540,333,16237,1617
29,64.3,2020,6759,14000,7894,1154,803,396,49.3,321,40.0,18802,961,785,279,546,326,21144,2169,35.7,17707,2714,6971,7319,3601,547,567,271,47.8,227,40.0,9553,475,342,130,517,295,10227,952
30,50.6,2330,7276,10222,5226,718,773,365,47.2,311,40.2,12640,621,492,156,564,353,14568,1259,49.4,21956,2101,6663,9684,5849,785,774,363,46.9,338,43.7,12654,749,606,146,492,327,14098,1553
38,41.9,2374,6497,7769,4091,579,569,246,43.2,249,43.8,9031,475,350,89,567,354,9839,960,58.1,23666,2154,6661,10803,6401,957,746,351,47.1,320,42.9,13832,823,601,187,596,303,15488,1728
26,50.2,2214,7194,10099,5553,734,700,323,46.1,295,42.1,13546,704,558,161,566,298,14591,1393,49.8,22441,2271,6852,10804,4993,631,747,381,51.0,295,39.5,13039,536,393,137,617,369,14469,1277
32,45.5,2416,7058,8743,4363,619,708,342,48.3,311,43.9,11273,561,408,107,577,345,11950,1185,54.5,23458,2067,6449,10874,6360,932,695,323,46.5,280,40.3,13420,737,555,204,588,353,15458,1597
33,43.1,2216,6173,8355,4471,688,575,257,44.7,260,45.2,9604,528,385,111,526,245,10712,1135,56.9,23635,2324,7122,10596,6153,936,680,299,44.0,301,44.3,13382,748,549,223,539,351,15672,1619
25,39.9,1980,5769,8366,3993,589,456,217,47.6,189,41.4,8695,365,292,78,504,268,9605,989,60.1,25414,2202,7691,12149,5823,670,714,334,46.8,285,39.9,14672,688,544,138,556,256,16902,1504
29,51.3,2619,7919,9753,4932,761,728,341,46.8,311,42.7,13365,725,497,167,467,330,15020,1364,48.7,21779,2166,6541,9479,5968,808,623,288,46.2,244,39.2,12609,677,507,166,467,307,14270,1425
31,41.1,2351,6553,8032,3792,524,556,293,52.7,198,35.6,9509,476,341,94,498,302,10356,935,58.9,24505,1788,5800,12118,6813,758,652,298,45.7,283,43.4,15033,795,569,132,561,300,16791,1695
26,48.0,2287,6397,9352,5331,709,626,313,50.0,247,39.5,11200,545,416,128,590,316,12580,1338,52.0,22253,2493,7751,9410,5318,786,673,322,47.8,266,39.5,12906,680,486,170,586,268,14007,1357
28,51.2,2061,6266,9706,6029,699,660,296,44.8,290,43.9,12216,703,547,131,554,374,13384,1377,48.8,21335,2445,7779,8961,4840,738,765,383,50.1,281,36.7,11197,589,432,165,594,355,12797,1222
26,60.9,2415,7782,12859,8463,1151,971,475,48.9,379,39.0,19026,1008,734,338,490,297,21956,2000,39.1,19963,2604,6935,8542,4678,640,617,306,49.6,259,42.0,11794,631,505,140,470,283,12901,1178
30,54.6,2283,6890,10794,5762,798,680,307,45.1,293,43.1,13362,692,499,187,607,368,15101,1463,45.4,20064,2400,7172,8271,4812,654,681,328,48.2,285,41.9,10456,575,450,130,558,375,12005,1017
35,52.6,2284,7140,10069,5984,741,604,269,44.5,257,42.5,13544,558,520,122,515,312,15243,1497,47.4,21296,2448,6961,9372,5172,750,661,310,46.9,281,42.5,12175,643,489,160,532,306,13536,1265
28,52.0,2061,6446,9155,6255,822,747,352,47.1,307,41.1,12240,786,630,165,555,338,13469,1457,48.0,20602,2406,7019,9022,4748,680,712,334,46.9,311,43.7,11308,480,378,117,545,367,12455,1209
36,48.7,2571,7370,9027,4583,638,718,309,43.0,318,44.3,11499,610,451,147,589,316,12521,1233,51.3,21570,2128,6441,9260,6084,980,712,332,46.6,296,41.6,11974,723,531,215,533,375,13506,1474
32,56.9,2621,7659,10215,6181,911,880,435,49.4,345,39.2,14393,846,570,239,552,343,16363,1617,43.1,19276,2222,6362,8049,5094,744,597,264,44.2,270,45.2,10572,640,480,170,513,308,11928,1226
33,42.0,2222,6215,8104,4235,605,504,271,53.8,233,46.2,8699,420,310,102,616,278,9576,969,58.2,24006,2263,7419,10974,5796,897,638,375,58.8,262,41.1,13155,656,466,159,632,288,15266,1558
26,48.1,2066,6214,9532,5722,799,530,297,56.0,232,43.8,10777,653,461,146,569,341,12839,1559,51.9,23145,2686,8299,9724,5338,738,582,358,61.5,224,38.5,13233,586,413,154,626,284,14558,1356
26,50.6,2006,6787,10729,5702,868,600,383,63.8,217,36.2,12629,705,531,164,555,353,14978,1456,49.4,22840,2520,7416,10829,4797,518,619,326,52.7,293,47.3,12320,495,430,78,587,343,14731,1304
38,64.2,2236,7093,14319,7567,1055,747,474,63.5,273,36.5,18228,961,704,280,623,358,21334,2059,35.2,18008,2652,7090,7453,3639,576,493,249,50.5,244,49.5,9266,448,287,136,569,343,10357,931
31,53.7,2299,7311,10969,5603,826,655,372,56.8,283,43.2,13042,666,482,187,588,364,15573,1501,45.9,21018,2221,6760,9187,5302,736,695,371,53.4,324,46.6,11051,686,469,160,562,338,12921,1356
33,41.3,2215,6501,7898,4374,646,519,281,54.1,238,45.9,9062,571,382,106,576,291,10039,1063,59.1,24939,2196,6771,12031,6336,803,712,410,57.6,302,42.4,14139,735,581,139,672,345,16592,1789
25,55.2,2272,7479,11772,5737,719,591,346,58.5,244,41.3,13606,665,544,125,572,310,15869,1434,44.4,21082,2265,6965,9473,4873,676,762,476,62.5,286,37.5,10464,547,395,133,679,410,12239,1241
28,48.4,2493,7657,9086,4313,498,597,339,56.8,258,43.2,11059,531,403,89,650,330,12844,1087,51.6,22214,1764,6198,10589,5631,834,623,354,56.8,268,43.0,12291,657,488,163,567,321,14181,1463
34,46.9,2604,7525,9167,4471,581,616,373,60.6,243,39.4,11191,610,468,119,563,331,13239,1196,52.9,23110,1938,6189,10593,6526,976,646,371,57.4,275,42.6,12859,800,567,194,533,282,15370,1679
31,41.5,2003,5988,8734,4125,551,452,242,53.5,210,46.5,9326,399,328,92,603,301,10197,910,58.8,25022,2099,7619,12389,5225,653,594,346,58.2,248,41.8,14196,612,505,111,621,339,16581,1509
32,44.7,2401,6704,8239,4287,600,495,270,54.5,225,45.5,9255,435,354,96,588,321,10466,1036,66.0,22987,2120,6813,10236,6130,960,632,358,56.6,274,43.4,12410,706,505,190,644,337,14472,1594
31,47.2,2377,7382,8840,4535,719,683,348,51.0,335,49.0,10842,569,405,154,614,302,12487,1334,53.1,22619,2204,6680,10519,5639,842,611,374,61.2,237,38.8,12819,716,561,187,554,321,14569,1437
33,45.3,2231,6593,8320,4619,647,612,368,60.1,244,39.9,10034,575,449,112,613,404,10923,1110,54.9,22593,2165,6846,10513,5434,804,551,303,55.0,248,45.0,12229,650,495,141,622,359,14251,1358
29,46.9,2013,6066,9272,5397,697,467,261,55.9,206,44.1,10211,417,358,76,597,309,11775,1313,53.3,23306,2463,7877,10125,5520,747,598,347,58.0,251,42.0,12658,722,527,182,603,326,14488,1309
28,49.9,2161,6591,9702,5241,734,639,357,55.9,282,44.1,10829,697,497,151,696,371,12632,1299,50.1,21403,2364,7202,9223,5218,723,688,408,59.3,280,40.7,11305,603,470,154,614,341,12807,1315
31,59.9,2399,8154,12038,8430,1198,780,456,58.5,324,41.5,18562,1029,757,330,495,277,21234,2061,34.0,20331,2591,6738,8722,5040,681,502,291,58.0,211,42.0,11747,632,509,147,507,349,13167,1250
32,54.3,2574,7504,10671,5504,851,670,360,53.7,310,46.3,13290,667,546,178,626,391,15188,1447,45.3,20488,2362,6990,8514,5184,665,546,286,52.4,260,47.6,11269,587,471,149,625,326,12202,1191
